Booking ID,Member ID,Coach,When,Duration,Attended
B2001,V1001,Adam Lim,2024-03-15 09:00,60,Y
B2002,V1002,Adam Lim,2024-03-15 09:00,60,Y
B2003,V1004,Rajesh Kumar,2024-03-16 18:00,60,Y
B2004,V1004,Adam Lim,2024-03-15 09:30,60,N
B2005,V1005,Farah,2024-03-18 10:00,60,
B2006,V1010,Coach Mike,2024-04-12 19:00,60,Y
B2007,V9999,Rajesh Kumar,2024-03-20 07:00,60,Y
B2008,V1006,Kenny,2024-02-05 17:00,60,Y
B2009,V1008,Farah Aziz,2024-03-05 08:00,60,
B2010,V1012,Rajesh Kumar,2024-01-10 20:00,60,Y
B2011,V1001,Adam Lim,2024-03-22 09:00,60,Y
B2012,V1007,Farah Aziz,2024-02-28 11:00,90,Y
B2013,V1011,Adam Lim,2024-04-18 18:00,60,
